customer_id,usage_date,active_users,login_count,session_count,feature_usage,api_calls
CUST1053,2021-01-01,60,435,745,2420,11722
CUST1053,2021-02-01,54,467,531,3053,15358
CUST1053,2021-03-01,61,322,539,1506,27412
CUST1053,2021-04-01,68,732,948,2324,22767
CUST1053,2021-05-01,54,319,398,1235,5607
CUST1053,2021-06-01,54,545,603,1307,21738
CUST1053,2021-07-01,69,502,821,2861,6228
CUST1053,2021-08-01,62,273,322,1440,29070
CUST1053,2021-09-01,52,622,1034,2315,17683
CUST1053,2021-10-01,60,558,1011,2530,9282
CUST1053,2021-11-01,52,615,1112,5589,21449
CUST1053,2021-12-01,52,361,459,2183,10981
CUST1053,2022-01-01,58,244,465,1832,14318
CUST1053,2022-02-01,39,220,380,1048,5225
CUST1053,2022-03-01,41,251,441,1367,17388
CUST1053,2022-04-01,51,572,914,2079,6107
CUST1053,2022-05-01,47,266,355,1231,2365
CUST1053,2022-06-01,58,507,730,2001,3388
CUST1053,2022-07-01,48,514,924,2730,17973
CUST1053,2022-08-01,44,392,621,2204,12576
CUST1053,2022-09-01,68,508,810,3606,13271
CUST1053,2022-10-01,54,473,567,2320,4320
CUST1053,2022-11-01,56,588,715,3928,7892
CUST1053,2022-12-01,44,324,385,1649,18758
CUST1053,2023-01-01,51,454,714,3430,8423
CUST1053,2023-02-01,56,352,579,1322,26241
CUST1053,2023-03-01,46,224,345,1917,3955
CUST1053,2023-04-01,59,602,695,2941,27860
CUST1053,2023-05-01,50,337,482,2329,21031
CUST1053,2023-06-01,53,285,323,736,9898
CUST1053,2023-07-01,50,575,1129,2696,18816
CUST1053,2023-08-01,71,552,701,2877,11497
CUST1053,2023-09-01,55,474,597,2983,13025
CUST1053,2023-10-01,47,185,309,1060,12051
CUST1053,2023-11-01,62,557,1055,2813,8133
CUST1053,2023-12-01,45,297,416,1095,22468
CUST1053,2024-01-01,57,398,564,1838,28281
CUST1053,2024-02-01,39,230,329,1663,9506
CUST1053,2024-03-01,44,419,690,2934,6435
CUST1053,2024-04-01,57,563,1088,3281,27516
CUST1053,2024-05-01,62,435,633,3105,30524
CUST1053,2024-06-01,57,476,745,4450,10592
CUST1053,2024-07-01,55,313,406,2201,3287
CUST1053,2024-08-01,53,551,948,2942,15854
CUST1053,2024-09-01,43,344,665,1741,2880
CUST1053,2024-10-01,49,303,371,1286,15286
CUST1053,2024-11-01,52,265,484,1145,11955
CUST1053,2024-12-01,64,720,1267,6201,26035
CUST1053,2025-01-01,58,264,486,2312,17939
CUST1053,2025-02-01,41,457,747,2391,15533
CUST1053,2025-03-01,58,474,554,1231,23020
CUST1053,2025-04-01,52,318,583,2137,22907
CUST1053,2025-05-01,50,541,705,3250,16051
CUST1053,2025-06-01,61,189,340,1200,11416
CUST1053,2025-07-01,64,215,340,883,17669
CUST1053,2025-08-01,63,314,359,1768,14288
CUST1053,2025-09-01,48,336,549,2206,7197
CUST1053,2025-10-01,53,297,432,1092,4618
CUST1053,2025-11-01,58,472,540,1942,5120
CUST1053,2025-12-01,64,481,864,2178,7084
CUST1027,2021-01-01,135,645,938,4019,40840
CUST1027,2021-02-01,141,1688,2653,7877,23944
CUST1027,2021-03-01,121,831,1426,6137,12177
CUST1027,2021-04-01,119,799,1141,3151,24399
CUST1027,2021-05-01,163,1450,2599,6957,33801
CUST1027,2021-06-01,175,1818,3313,14884,43436
CUST1027,2021-07-01,144,1629,2134,10118,17308
CUST1027,2021-08-01,167,1595,1877,9306,26615
CUST1027,2021-09-01,153,1314,1620,8634,27457
CUST1027,2021-10-01,131,797,1453,4679,34326
CUST1027,2021-11-01,153,915,1615,4598,45271
CUST1027,2021-12-01,179,1745,2781,12492,88879
CUST1027,2022-01-01,145,1342,2283,8005,66369
CUST1027,2022-02-01,180,1393,1852,4149,25256
CUST1027,2022-03-01,88,815,1095,4226,41828
CUST1027,2022-04-01,163,586,992,4614,75108
CUST1027,2022-05-01,147,917,1097,3477,65787
CUST1027,2022-06-01,139,900,1783,7192,51341
CUST1027,2022-07-01,148,1647,2530,11102,13262
CUST1027,2022-08-01,102,488,961,4077,37802
CUST1027,2022-09-01,141,473,912,2936,38136
CUST1027,2022-10-01,153,1484,1656,7844,32117
CUST1027,2022-11-01,178,1018,2032,12017,30997
CUST1027,2022-12-01,134,476,633,2246,66997
CUST1027,2023-01-01,128,1524,2971,17221,19393
CUST1027,2023-02-01,135,820,1191,3035,51090
CUST1027,2023-03-01,166,1275,2180,11969,59583
CUST1027,2023-04-01,153,1033,1668,6181,29157
CUST1027,2023-05-01,134,1132,1702,4301,46044
CUST1027,2023-06-01,157,1291,2214,6219,17607
CUST1027,2023-07-01,148,1361,2597,14642,36042
CUST1027,2023-08-01,167,1867,3347,15479,50798
CUST1027,2023-09-01,130,574,666,2751,48587
CUST1027,2023-10-01,138,642,1191,3075,8730
CUST1027,2023-11-01,137,803,1586,9269,25551
CUST1027,2023-12-01,113,1097,2017,9172,43194
CUST1027,2024-01-01,152,663,841,2124,9391
CUST1027,2024-02-01,151,1792,2966,13116,49159
CUST1027,2024-03-01,146,1221,1596,3358,12521
CUST1027,2024-04-01,140,1402,1711,9212,36532
CUST1027,2024-05-01,115,1017,1287,4568,30271
CUST1027,2024-06-01,136,608,792,2878,66091
CUST1027,2024-07-01,138,1563,3055,8829,48590
CUST1027,2024-08-01,128,617,792,2144,61390
CUST1027,2024-09-01,142,987,1633,7759,62486
CUST1027,2024-10-01,154,1692,2512,12823,49829
CUST1027,2024-11-01,187,1948,3405,12178,88378
CUST1027,2024-12-01,149,1213,1919,8761,54660
CUST1027,2025-01-01,151,505,605,2315,67194
CUST1027,2025-02-01,144,1569,2072,8601,70952
CUST1027,2025-03-01,103,345,499,2525,49766
CUST1027,2025-04-01,145,682,1019,5642,57732
CUST1027,2025-05-01,147,819,1023,3250,68144
CUST1027,2025-06-01,199,1832,3505,13509,67808
CUST1027,2025-07-01,141,537,832,2262,44196
CUST1027,2025-08-01,152,1679,2672,9545,29724
CUST1027,2025-09-01,145,467,704,3932,65700
CUST1027,2025-10-01,120,1313,1550,5109,41023
CUST1027,2025-11-01,171,1607,2004,9885,15567
CUST1027,2025-12-01,162,1515,2531,5925,59660
CUST1002,2021-03-01,211,2135,3331,19316,46505
CUST1002,2021-04-01,163,1047,1875,10591,49628
CUST1002,2021-05-01,228,2037,2515,13770,29751
CUST1002,2021-06-01,149,1401,2070,6702,58986
CUST1002,2021-07-01,205,1438,2392,5908,22387
CUST1002,2021-08-01,251,1211,2010,6055,64353
CUST1002,2021-09-01,160,1711,2719,5500,71554
CUST1002,2021-10-01,172,884,1440,5620,40345
CUST1002,2021-11-01,191,709,1162,3461,56594
CUST1002,2021-12-01,174,1492,2389,12664,12530
CUST1002,2022-01-01,145,628,1060,2275,62962
CUST1002,2022-02-01,190,1710,3170,10124,88192
CUST1002,2022-03-01,158,543,801,2173,55685
CUST1002,2022-04-01,202,1716,2955,12942,81666
CUST1002,2022-05-01,162,744,1123,4846,76004
CUST1002,2022-06-01,232,890,1218,4231,51161
CUST1002,2022-07-01,166,599,889,3735,30174
CUST1002,2022-08-01,179,753,1299,4023,51404
CUST1002,2022-09-01,212,1637,2825,12566,21027
CUST1002,2022-10-01,154,1473,2454,14598,41217
CUST1002,2022-11-01,195,1793,3479,20683,34950
CUST1002,2022-12-01,226,1916,2653,10881,112493
CUST1002,2023-01-01,143,884,1075,4569,40593
CUST1002,2023-02-01,194,1685,2600,7071,62901
CUST1002,2023-03-01,196,1837,3639,7301,11915
CUST1002,2023-04-01,211,1820,2195,11836,86468
CUST1002,2023-05-01,153,1834,2700,9004,46234
CUST1002,2023-06-01,151,1319,1464,4106,26686
CUST1002,2023-07-01,203,2052,2825,11375,39740
CUST1002,2023-08-01,197,601,1032,3473,74067
CUST1002,2023-09-01,196,1674,1885,5094,38951
CUST1002,2023-10-01,198,1196,2039,11550,80935
CUST1002,2023-11-01,169,1489,2283,10293,76291
CUST1002,2023-12-01,195,1527,2140,10990,46074
CUST1002,2024-01-01,197,1907,3530,11286,74118
CUST1002,2024-02-01,168,981,1552,4396,60223
CUST1002,2024-03-01,241,2457,4666,15931,117204
CUST1002,2024-04-01,202,1115,1257,7459,67049
CUST1002,2024-05-01,155,1640,2646,9415,49264
CUST1002,2024-06-01,207,2231,3963,19105,39645
CUST1002,2024-07-01,161,528,777,3098,25267
CUST1002,2024-08-01,211,1491,2915,8350,39255
CUST1002,2024-09-01,221,886,1600,8177,101883
CUST1002,2024-10-01,165,1154,1295,5090,45379
CUST1002,2024-11-01,216,1017,1964,9682,61696
CUST1002,2024-12-01,200,1995,2451,13449,83992
CUST1002,2025-01-01,212,2425,4144,10487,79724
CUST1002,2025-02-01,242,1726,3007,12296,12547
CUST1002,2025-03-01,182,2073,3562,15591,16231
CUST1002,2025-04-01,167,1202,1372,5600,57872
CUST1002,2025-05-01,163,947,1533,4980,73588
CUST1002,2025-06-01,165,971,1236,3839,31946
CUST1002,2025-07-01,186,1296,1562,4056,32203
CUST1002,2025-08-01,198,621,1031,4181,28306
CUST1002,2025-09-01,196,1205,1670,4285,71923
CUST1002,2025-10-01,212,1176,1552,3546,69105
CUST1002,2025-11-01,189,1143,1713,4317,49486
CUST1002,2025-12-01,230,2088,2495,5526,55639
CUST1039,2021-05-01,46,429,816,3686,16585
CUST1039,2021-06-01,67,469,666,2217,9324
CUST1039,2021-07-01,52,510,932,2156,24193
CUST1039,2021-08-01,41,405,652,1546,16853
CUST1039,2021-09-01,40,371,440,1426,13599
CUST1039,2021-10-01,51,504,767,4440,5848
CUST1039,2021-11-01,46,508,676,2334,6095
CUST1039,2021-12-01,53,596,832,4528,10395
CUST1039,2022-01-01,51,376,435,1066,13535
CUST1039,2022-02-01,47,498,674,2287,14504
CUST1039,2022-03-01,41,310,454,2205,4023
CUST1039,2022-04-01,37,296,344,1103,9525
CUST1039,2022-05-01,44,365,479,1424,5348
CUST1039,2022-06-01,54,396,459,1300,19565
CUST1039,2022-07-01,49,337,667,2847,9995
CUST1039,2022-08-01,39,360,452,2114,14925
CUST1039,2022-09-01,49,460,852,2093,15593
CUST1039,2022-10-01,50,296,351,1327,9430
CUST1039,2022-11-01,41,272,445,2110,13053
CUST1039,2022-12-01,49,508,708,3242,3805
CUST1039,2023-01-01,48,238,291,1258,18707
CUST1039,2023-02-01,39,401,714,3315,9899
CUST1039,2023-03-01,50,281,464,1757,7127
CUST1039,2023-04-01,52,566,775,4012,18501
CUST1039,2023-05-01,55,619,1202,5855,25399
CUST1039,2023-06-01,55,655,1064,4730,15382
CUST1039,2023-07-01,38,403,752,1691,17308
CUST1039,2023-08-01,41,480,528,2238,20106
CUST1039,2023-09-01,51,203,274,582,12457
CUST1039,2023-10-01,51,423,703,3407,11868
CUST1039,2023-11-01,51,352,454,1222,5741
CUST1039,2023-12-01,75,599,1113,3830,17831
CUST1039,2024-01-01,52,291,548,1371,2871
CUST1039,2024-02-01,56,494,607,3362,19379
CUST1039,2024-03-01,54,635,776,1977,22284
CUST1039,2024-04-01,52,558,1062,5078,24369
CUST1039,2024-05-01,45,387,583,2155,18856
CUST1039,2024-06-01,53,342,445,1646,2827
CUST1039,2024-07-01,42,314,551,2671,7188
CUST1039,2024-08-01,46,521,843,1798,3083
CUST1039,2024-09-01,44,323,462,1996,21242
CUST1039,2024-10-01,48,178,312,1280,20961
CUST1039,2024-11-01,64,624,843,3429,18272
CUST1039,2024-12-01,34,288,380,1718,11855
CUST1039,2025-01-01,52,468,802,3333,16163
CUST1039,2025-02-01,36,306,585,2421,1974
CUST1039,2025-03-01,44,311,595,2556,8763
CUST1039,2025-04-01,55,339,671,2132,6895
CUST1039,2025-05-01,48,444,727,2338,19356
CUST1039,2025-06-01,40,213,354,1526,12311
CUST1039,2025-07-01,42,374,509,2519,2615
CUST1039,2025-08-01,52,382,463,1068,20940
CUST1039,2025-09-01,42,221,365,1131,6956
CUST1039,2025-10-01,49,473,777,4382,18744
CUST1039,2025-11-01,48,428,613,1656,19302
CUST1039,2025-12-01,43,220,277,1138,2790
CUST1026,2021-05-01,31,362,592,3129,13234
CUST1026,2021-06-01,26,254,373,1317,9029
CUST1026,2021-07-01,16,152,190,819,6861
CUST1026,2021-08-01,24,83,111,585,1767
CUST1026,2021-09-01,21,150,229,894,10010
CUST1026,2021-10-01,27,305,399,1888,6089
CUST1026,2021-11-01,21,112,176,658,3779
CUST1026,2021-12-01,23,234,337,1099,6638
CUST1026,2022-01-01,25,290,344,1419,5230
CUST1026,2022-02-01,27,286,471,2170,4661
CUST1026,2022-03-01,19,103,187,564,5944
CUST1026,2022-04-01,22,157,268,795,7751
CUST1026,2022-05-01,22,218,341,1606,10932
CUST1026,2022-06-01,21,122,135,274,1692
CUST1026,2022-07-01,30,201,316,1498,6245
CUST1026,2022-08-01,25,238,315,672,8218
CUST1026,2022-09-01,19,66,107,596,2803
CUST1026,2022-10-01,27,226,273,1591,2399
CUST1026,2022-11-01,31,261,375,1895,10588
CUST1026,2022-12-01,27,276,349,852,3588
CUST1026,2023-01-01,18,101,171,393,4572
CUST1026,2023-02-01,22,263,471,2246,7709
CUST1026,2023-03-01,28,278,370,1895,4893
CUST1026,2023-04-01,21,74,107,640,3490
CUST1026,2023-05-01,25,257,323,735,12268
CUST1026,2023-06-01,26,124,180,824,2568
CUST1026,2023-07-01,20,157,233,1038,1956
CUST1026,2023-08-01,23,160,213,455,1878
CUST1026,2023-09-01,12,114,205,425,3287
CUST1026,2023-10-01,20,177,194,417,4514
CUST1026,2023-11-01,23,100,139,495,1188
CUST1026,2023-12-01,19,178,319,1248,4403
CUST1026,2024-01-01,29,276,505,1151,4397
CUST1026,2024-02-01,18,116,199,1018,1881
CUST1026,2024-03-01,22,171,340,1133,4097
CUST1026,2024-04-01,24,83,165,757,5145
CUST1026,2024-05-01,29,309,434,2328,11373
CUST1026,2024-06-01,18,100,128,539,8736
CUST1026,2024-07-01,28,250,342,1217,2745
CUST1026,2024-08-01,24,220,338,1872,5930
CUST1026,2024-09-01,20,94,106,222,9967
CUST1026,2024-10-01,25,128,185,956,8488
CUST1026,2024-11-01,24,179,352,1846,11639
CUST1026,2024-12-01,21,66,92,308,7863
CUST1026,2025-01-01,24,159,205,946,6849
CUST1026,2025-02-01,22,252,474,1965,8436
CUST1026,2025-03-01,24,122,142,701,6480
CUST1026,2025-04-01,26,82,157,702,4139
CUST1026,2025-05-01,29,256,284,1286,13255
CUST1026,2025-06-01,19,197,233,1035,8092
CUST1026,2025-07-01,31,110,201,493,9849
CUST1026,2025-08-01,16,136,157,441,3228
CUST1026,2025-09-01,23,242,426,1537,2400
CUST1026,2025-10-01,26,238,378,1242,12586
CUST1026,2025-11-01,25,122,139,374,1961
CUST1026,2025-12-01,21,114,203,542,4545
CUST1032,2021-05-01,43,298,576,1245,4084
CUST1032,2021-06-01,41,435,718,3669,2338
CUST1032,2021-07-01,41,302,333,904,3694
CUST1032,2021-08-01,50,443,840,3078,20666
CUST1032,2021-09-01,47,467,804,2271,15882
CUST1032,2021-10-01,40,308,453,2605,12989
CUST1032,2021-11-01,51,170,214,855,24359
CUST1032,2021-12-01,47,406,732,2482,2446
CUST1032,2022-01-01,50,256,308,1269,4652
